GENENAME	Adrenal4.a.s	Adrenal4.c.s	Adrenal4.d.s	Thryoid5.a.s	Thyroid5.b.s	Thyroid5.c.s	Thyroid5.d.s
EXOGP1	0	0	0	0	0	0	0
RP11-699A5.2	0	0	0	1	1	0	0
GREB1L	36	40	43	235	146	0	313
RP11-296E23.2	0	0	0	0	0	0	0
RP11-296E23.1	0	0	0	0	1	0	0
SNORD23	0	0	0	0	0	0	0
ESCO1	304	284	388	747	471	0	831
SNRPD1	308	265	268	260	164	0	283
RP11-13N13.2	9	6	4	11	3	0	8
ABHD3	159	169	192	1201	227	0	782
RP11-13N13.5	0	0	0	2	3	0	3
RP11-13N13.6	0	0	0	1	0	0	3
MIR320C1	0	0	0	1	0	0	0
MIB1	846	907	1023	2736	1856	0	2414
AC091038.1	0	0	0	0	0	0	0
RN7SL233P	0	0	0	1	0	0	0
hsa-mir-133a-1	3	1	0	4	8	0	34
MIR133A1	0	0	0	0	0	0	0
MIR1-2	0	0	0	0	0	0	0
RP11-268I9.1	0	0	0	0	0	0	0
RP11-268I9.3	0	0	0	0	0	0	0
RP11-268I9.4	0	0	0	0	0	0	0
RNA5SP451	0	0	0	0	0	0	0
RP11-595B24.1	0	0	0	0	0	0	0
AC091043.1	0	0	0	0	0	0	0
RP11-595B24.2	0	0	0	0	0	0	0
RNU6ATAC20P	1	0	0	0	0	0	0
RP11-627G18.3	355	342	189	8	4	0	11
GATA6	1594	1439	2143	70	71	0	151
RP11-627G18.2	16	18	11	1	0	0	2
RP11-627G18.1	10	11	10	2	0	0	1
RP11-627G18.4	0	0	0	1	0	0	0
CTAGE1	63	61	78	227	82	0	135
RP11-863N1.4	0	0	0	0	0	0	0
RP11-863N1.1	0	1	0	0	0	0	0
RP11-739L10.1	2	2	2	2	0	0	1
RP11-370A5.1	1	0	2	0	0	0	0
RBBP8	197	331	237	1614	345	0	674
UBE2CP2	0	0	1	7	0	0	0
MIR4741	0	0	0	0	0	0	0
RN7SL745P	0	0	0	0	0	0	0
CABLES1	122	116	132	722	418	0	546
AC105247.1	0	0	0	0	0	0	0
TMEM241	42	32	59	102	112	63	133
RP11-17J14.2	0	0	0	0	0	0	0
RIOK3	1181	1104	1124	2167	1012	28	1665
C18orf8	253	270	301	319	222	0	288
NPC1	1465	3124	2576	596	382	4	446
ANKRD29	365	257	328	33	15	0	101
RPS10P27	0	0	0	0	0	0	0
LAMA3	140	84	91	32	25	119	82
RPL23AP77	1	0	0	0	0	0	0
AC010754.1	0	0	0	0	0	0	0
RP11-403A21.1	1	3	3	0	1	0	0
TTC39C	659	471	742	95	59	49	75
RP11-403A21.2	7	2	1	0	0	57	0
RP11-403A21.3	0	0	0	0	0	65	0
RP11-799B12.2	7	2	1	0	0	0	0
RNU5A-6P	0	0	0	0	0	0	0
CABYR	25	17	28	9	9	0	8
RP11-799B12.4	2	0	4	2	0	3	0
OSBPL1A	1184	1098	1228	1488	724	3	1485
RNA5SP452	0	0	0	0	1	0	0
RN7SL247P	0	0	0	0	0	24	0
MIR320C2	0	0	0	0	0	0	0
RP11-621L6.2	0	0	2	2	4	0	3
IMPACT	985	794	1007	2026	1364	0	1656
RP11-178F10.1	0	0	0	0	1	0	0
HRH4	2	4	3	0	2	0	2
RP11-178F10.2	1	0	0	0	0	0	0
RP11-178F10.3	0	0	0	0	0	0	0
RP11-178F10.4	0	0	0	0	0	0	0
RP11-449D8.1	2	2	0	0	0	0	5
RP11-449D8.2	0	0	0	0	0	0	0
RAC1P1	0	0	0	0	0	0	0
RP11-449D8.3	0	0	0	0	0	0	0
RP11-449D8.5	0	0	0	0	0	2	0
RP11-958F21.1	0	0	0	0	0	0	0
WBP2P1	0	0	0	0	0	0	0
RP11-958F21.3	0	0	0	0	0	0	0
ZNF521	673	667	642	113	214	1	429
CTD-2006O16.2	0	0	0	0	0	0	0
RN7SL97P	0	0	0	0	0	0	0
RP11-737G21.1	0	0	0	0	0	20	0
SS18	2122	2026	2266	4468	1480	1	2445
RPS24P18	0	0	0	0	0	0	0
PSMA8	0	1	4	3	2	2	2
DHFRP1	37	53	53	97	56	0	56
NPM1P2	0	0	0	0	0	0	0
TAF4B	225	193	237	769	83	2	174
FAM60BP	5	12	15	16	17	0	14
RP11-25D3.1	0	0	0	0	0	0	0
RP11-107K17.2	0	0	0	0	0	1	0
RP11-107K17.1	0	0	0	0	0	0	0
KCTD1	462	306	365	358	246	2	294
AC090206.1	0	0	0	0	0	53	0
CIAPIN1P	90	98	84	83	56	101	84
AQP4-AS1	2	4	0	11	13	0	27
RP11-17A19.1	3	0	2	27	19	1	20
RP11-17A19.2	0	0	0	0	0	0	0
RP11-552O4.1	0	0	0	0	0	0	0
RP11-552O4.2	7	10	7	1	3	0	0
AQP4	18	6	10	2279	301	106	1278
CHST9	5	6	2	0	0	0	3
RP11-526I8.2	0	1	0	0	0	0	0
RP11-57J16.1	0	0	0	0	0	0	0
RP11-739N10.1	0	2	0	0	0	0	0
RP11-26N15.2	0	0	0	0	0	0	0
UBA52P9	0	0	0	0	0	0	0
RP11-612A1.1	0	0	0	0	0	0	0
RBM22P1	0	0	0	0	0	0	0
PA2G4P3	0	0	0	0	0	0	0
CDH2	3412	3170	3585	55	1202	0	301
AC015933.2	4	4	3	0	1	0	0
ARIH2P1	6	6	13	4	3	0	10
RP11-510D21.1	0	0	0	0	0	0	0
RP11-510D21.2	0	0	0	0	0	0	0
AC090349.1	0	0	0	0	0	0	0
AC105245.1	0	0	0	0	0	0	0
CTD-2515C13.1	7	6	10	0	0	0	0
CTD-2515C13.2	0	0	0	0	0	0	0
AC091321.1	0	0	0	0	0	0	0
RP11-784B15.1	0	0	0	0	0	0	0
RP11-675P14.1	0	0	0	0	0	0	0
RP11-25I11.1	0	0	0	0	0	0	0
DSC3	11	5	6	7	0	0	7
RP11-408H20.1	0	1	0	1	1	0	0
DSC2	133	95	171	187	336	0	392
RP11-408H20.2	0	0	0	0	2	0	0
DSC1	0	0	0	0	3	0	1
RP11-408H20.3	0	0	0	0	0	0	1
DSG1	0	0	0	0	1	0	0
RP11-534N16.1	0	0	0	0	0	0	0
DSG4	1	0	0	0	0	0	0
DSG3	1	0	0	0	0	0	0
RP11-650P15.1	0	0	0	2	1	0	14
DSG2	145	72	83	3375	3046	0	3787
RP11-75N4.2	2	0	0	2	2	0	3
TTR	4	3	0	0	1	0	14
B4GALT6	1384	801	971	55	93	0	118
RP11-549B18.1	49	46	33	4	10	0	13
RN7SKP44	1	1	1	0	0	0	0
RP11-549B18.2	35	36	42	2	4	0	0
RP11-549B18.3	0	0	0	0	0	0	0
SLC25A52	1	0	1	2	0	0	1
TRAPPC8	917	853	1056	1870	1435	0	1629
RP11-210K20.2	1	2	0	0	1	0	4
RP11-210K20.3	0	0	0	0	0	0	0
RP11-210K20.4	0	0	0	0	0	0	0
RP11-326K13.4	9	5	3	1	2	0	4
PGDP1	36	45	60	142	113	0	120
RP11-326K13.2	0	0	0	0	0	0	0
RNF125	91	70	154	117	106	0	211
RP11-53I6.2	0	0	0	0	0	0	0
AC009831.1	0	0	0	0	0	0	0
RP11-53I6.1	0	0	0	0	0	0	0
RP11-53I6.3	1	0	0	0	6	0	4
RNF138	302	210	239	479	313	0	420
RP11-53I6.4	1	1	3	1	4	0	3
GAREM	402	684	452	292	84	0	138
RNA5SP453	0	0	0	0	0	0	0
MEP1B	0	0	1	1	0	0	2
RP11-53I6.5	1	0	1	0	0	0	0
RP11-344B2.3	2	0	1	0	0	0	0
RP11-344B2.2	0	0	0	0	0	0	0
HNRNPA1P7	20	21	21	40	30	0	19
AC021224.1	0	0	0	0	0	0	0
WBP11P1	23	42	36	40	31	0	27
AC009835.1	0	0	0	0	0	0	0
RP11-386P4.1	0	0	0	0	0	0	0
KLHL14	12	6	21	455	773	2	990
AC012123.1	0	0	1	18	46	0	62
RP11-57G22.1	0	0	0	1	3	0	5
RP11-746B8.1	0	0	0	0	1	0	0
CCDC178	3	2	1	14	13	0	23
RP11-680N20.1	0	0	0	0	0	0	0
RP11-258B16.1	0	0	0	0	2	0	0
ASXL3	14	5	17	4	93	0	103
NOL4	98	80	102	1	8	0	53
RP11-379L18.1	1	1	0	0	1	0	1
DTNA	549	368	350	715	323	8	596
RP11-115P21.1	0	0	0	0	0	0	0
RP11-138H11.1	0	0	0	2	2	0	0
AC068506.1	0	0	0	0	0	0	0
MAPRE2	3297	3295	3182	1699	883	1	1164
ZNF397	362	406	450	660	514	0	551
ZSCAN30	548	452	448	641	630	0	581
RP11-158H5.7	21	15	16	37	50	0	28
ZNF271	767	721	783	994	766	0	952
ZNF24	1882	1916	1978	3534	2847	0	3507
ZNF396	77	62	53	131	203	0	220
RP11-322E11.1	0	0	0	0	0	0	0
RP11-322E11.5	3	1	4	5	3	0	22
RP11-322E11.6	0	0	0	0	0	0	0
INO80C	136	72	94	121	68	0	129
GALNT1	1177	1079	1155	1951	1331	3	1663
RP11-712P20.2	1	2	0	0	0	0	0
RP11-873E20.1	0	2	1	2	0	0	2
NRBF2P1	0	0	0	0	0	0	0
MIR187	0	0	0	0	0	0	0
MIR3929	0	0	0	0	0	0	0
RP11-905K4.1	0	0	0	1	3	0	0
C18orf21	182	135	118	170	113	0	153
RPRD1A	1918	1737	1916	2816	1528	0	1930
SLC39A6	1197	1190	1402	2077	1550	1	1891
ELP2	1252	1181	1285	1772	1396	31	1350
RP11-49I11.1	57	26	44	13	16	0	10
MOCOS	700	732	880	394	107	16	28
RP11-49I11.2	3	2	3	4	1	0	0
RP11-49I11.3	4	1	1	2	0	0	0
FHOD3	1258	1156	1181	89	182	0	183
TPGS2	958	730	890	819	557	0	914
KIAA1328	145	134	152	170	200	25	217
RP11-58G13.1	0	0	0	1	0	0	0
RP11-95O2.1	5	2	2	2	4	18	3
CELF4	379	250	360	127	2	9	7
RP11-95O2.5	5	1	11	6	2	0	1
RP11-797E24.3	0	0	0	0	0	1	0
MIR4318	0	0	0	0	0	0	0
RP11-19F9.1	0	0	0	0	0	53	0
RP11-687D19.1	0	0	0	0	0	0	0
RN7SKP182	0	0	0	0	0	0	0
LINC00669	0	0	1	8	1	24	0
RPL7AP66	258	146	170	260	214	0	121
MIR5583-1	0	0	0	0	0	0	0
RP11-636O21.1	2	2	0	1	0	0	0
RP11-653G8.2	0	0	0	0	0	0	0
RP11-653G8.1	0	0	0	0	0	0	0
RNU7-145P	0	0	0	0	0	0	0
RP11-142I20.1	7	2	15	0	0	0	13
RP11-188I24.1	0	0	0	0	0	0	0
AC011225.1	0	0	0	0	0	0	0
PIK3C3	887	984	1046	1001	907	0	1287
RP11-115N12.1	1	0	1	0	0	0	2
RP11-21F16.1	4	3	3	2	4	0	4
RNA5SP454	0	0	0	0	0	0	0
RIT2	18	12	56	0	0	0	0
SYT4	729	683	1370	7	2	0	10
AC083760.1	0	0	0	0	0	0	0
RNA5SP455	0	0	0	0	0	0	0
KRT8P5	1	0	0	0	0	0	1
CTC-782O7.1	0	0	0	0	0	0	0
RP11-456K23.1	45	14	17	7	24	0	29
SETBP1	279	199	327	189	590	0	664
MIR4319	0	0	0	0	0	0	0
RP11-846C15.2	0	0	0	0	0	0	0
SLC14A2	16	22	43	1	147	0	63
RP11-309E23.2	5	2	0	0	1	0	0
RP11-749H17.1	0	0	1	0	0	0	1
RP11-749H17.2	0	0	0	0	0	0	0
RP11-116O18.1	3	1	4	2	92	0	60
RP11-116O18.3	1	0	3	0	0	0	0
SLC14A1	106	51	72	10	74	1	255
RP11-618K16.4	0	0	0	0	0	0	0
SIGLEC15	30	6	13	1	5	0	0
EPG5	636	617	795	1759	1092	0	1261
PSTPIP2	178	118	240	32	62	0	51
RN7SKP26	0	2	2	1	0	0	0
RP11-8H2.1	9	8	5	11	4	0	0
ATP5A1	9348	7772	8818	8626	6089	0	6771
HAUS1	158	104	136	129	163	0	159
C18orf25	467	449	528	974	715	0	965
RNF165	110	108	105	178	228	0	168
LOXHD1	3	3	5	5	5	0	21
ST8SIA5	422	137	204	1	4	0	2
RP11-742D12.1	0	0	0	0	0	0	0
RP11-742D12.2	11	7	12	3	0	0	0
RP11-687F6.1	6	0	2	3	1	0	1
PIAS2	541	407	486	940	585	0	892
RP11-687F6.4	0	0	0	0	1	0	0
KATNAL2	53	40	39	222	294	0	356
TCEB3CL2	0	0	0	0	0	0	0
TCEB3CL	0	0	0	0	0	0	0
TCEB3C	0	0	0	0	0	0	0
TCEB3B	0	0	0	0	1	0	1
RP11-49K24.4	0	0	1	1	0	0	0
RP11-49K24.8	10	6	11	4	16	0	24
HDHD2	699	596	766	838	735	2	779
IER3IP1	939	747	839	1409	696	0	887
RP11-49K24.5	1	0	0	1	2	0	0
SKOR2	0	0	0	0	0	0	0
CTD-2130O13.1	0	0	0	1	0	0	0
MIR4527	0	0	0	0	0	0	0
RP11-157P23.2	0	0	0	0	0	0	0
TPMTP1	28	28	25	122	93	0	119
RP11-767C4.1	0	0	0	0	0	0	0
SMAD2	1611	1632	1441	3196	1925	0	2550
RP11-380M21.2	0	0	0	0	2	0	0
RP11-380M21.4	0	1	0	0	0	0	0
ZBTB7C	446	359	400	702	736	34	806
AC091150.1	0	0	0	0	0	0	0
RNU7-191P	0	0	0	1	1	1	0
RNA5SP456	0	0	0	0	0	0	0
RP11-23B5.1	1	2	1	1	1	6	1
CTIF	1063	839	1205	960	616	2	536
MIR4743	0	0	0	0	0	0	0
RP11-426J5.2	0	0	0	0	0	0	0
RP11-484L8.1	0	1	1	0	2	0	2
SMAD7	265	257	251	611	720	15	882
RP11-1058N17.1	0	1	0	0	2	0	2
RP11-15F12.1	4	4	4	1	3	0	7
DYM	502	491	626	2008	943	12	1113
MIR4744	0	0	0	0	0	0	0
RP11-15F12.3	0	0	0	0	0	0	0
RP11-30L3.2	0	0	0	0	1	0	0
RP11-110H1.9	0	0	0	0	0	0	0
RP11-110H1.1	0	0	0	0	0	0	0
C18orf32	3	5	9	12	1	0	4
RPL17-C18orf32	0	0	0	0	0	0	0
RP11-110H1.4	1	6	1	5	3	0	2
hsa-mir-1539	0	0	0	1	0	0	3
MIR1539	0	0	0	0	0	0	0
RPL17	73	90	57	83	77	0	74
SNORD58C	0	0	0	0	0	0	0
SNORD58A	0	0	0	0	0	0	0
SRP72P1	15	36	19	48	21	0	31
RP11-110H1.8	0	0	0	0	0	0	0
LIPG	1	7	19	24816	8645	410	8707
RP11-813F20.1	0	0	0	16	3	0	0
RP11-813F20.2	0	0	0	5	5	0	4
ACAA2	922	726	875	648	805	0	694
RP11-886H22.1	0	0	0	0	0	0	0
MYO5B	95	124	94	4312	1609	0	1626
RNA5SP457	0	0	0	0	0	0	0
RP11-813F20.4	0	0	0	0	0	0	0
ADAD1P2	0	0	0	0	0	0	0
RP11-689E3.2	0	0	0	0	0	0	0
RN7SL310P	0	0	0	0	0	0	0
CCDC11	30	31	22	83	155	0	90
MBD1	1059	1065	1135	1215	1226	2	1316
CXXC1	703	580	697	479	818	6	602
RP11-1030E3.1	0	0	0	0	0	28	0
RNA5SP458	0	0	0	0	0	178	0
SKA1	9	5	10	6	3	6	1
AC105227.1	0	13	1	0	0	0	0
RPLP0P11	0	0	0	0	0	0	0
MAPK4	1144	1884	1541	131	214	4	407
RP11-10I6.2	0	0	0	0	0	0	0
MRO	38	47	101	87	231	3	306
RP11-54A1.2	0	1	0	0	1	0	2
RPL17P46	1	1	0	0	0	0	0
ME2	762	878	1061	913	483	0	690
ELAC1	138	101	101	215	193	0	232
RP11-729L2.2	0	0	0	0	0	0	0
SMAD4	1387	1038	1140	1969	1704	0	1987
RN7SL695P	0	0	0	0	1	0	0
SRSF10P1	0	0	0	0	0	0	0
MEX3C	672	748	722	971	539	0	892
RP11-267C16.1	0	2	0	0	0	0	0
SS18L2P2	0	0	0	0	0	0	0
RP11-267C16.2	0	0	0	0	0	0	0
RSL24D1P9	1	1	2	0	0	0	0
RP11-440L16.1	0	0	0	0	0	0	0
RPS8P3	0	0	0	0	0	0	0
RP11-25O3.1	0	0	0	0	1	0	0
DCC	29	56	15	0	2	255	0
AC090660.1	0	0	0	0	0	0	0
hsa-mir-4528	0	0	0	0	0	0	0
RP11-671P2.1	0	0	0	0	0	0	0
RP11-202D1.3	2	0	0	0	0	1	0
RP11-202D1.2	0	0	0	0	0	0	0
RPL29P32	0	0	0	0	0	0	0
AC090666.1	0	0	0	0	0	0	0
RP11-116K4.1	0	0	0	1	3	0	1
MBD2	925	682	900	2284	2089	0	2635
SNORA37	0	0	0	1	0	0	0
POLI	711	468	614	1984	1808	0	1971
STARD6	5	2	0	0	1	0	2
C18orf54	36	24	55	68	58	0	88
SNRPGP2	158	110	91	65	63	0	78
RP11-61D1.2	0	0	0	0	0	0	0
RP11-289E15.1	0	0	0	0	0	0	0
DYNAP	1	2	0	0	0	0	0
RAB27B	140	132	257	49	15	0	16
RPSAP57	0	0	0	0	0	0	0
RP11-99A1.2	0	0	0	0	0	0	0
RP11-839G9.1	0	0	0	2	0	0	0
CCDC68	305	129	159	78	124	0	166
MAP1LC3P	0	0	0	0	0	0	0
AC098848.1	0	0	0	0	0	0	0
CTD-2171N6.1	3	0	1	3	16	0	5
RNA5SP459	0	0	0	0	0	0	0
TCF4	2644	2428	2750	2238	2555	0	2730
RP11-619L19.1	0	0	0	0	1	0	0
MIR4529	0	0	0	0	0	0	0
RP11-619L19.2	0	0	0	0	0	0	0
RPL21P126	0	0	0	0	0	0	0
RP11-397A16.1	0	0	0	0	0	0	0
RP11-397A16.2	10	3	2	5	18	0	18
RP11-397A16.3	0	0	0	0	0	0	0
RP11-214L13.1	0	0	0	0	0	0	0
CTD-2008L17.1	0	0	0	0	1	0	0
CTD-2008L17.2	2	0	0	9	19	0	40
RP11-456O19.2	0	0	0	0	0	0	1
RP11-456O19.5	0	0	0	0	1	0	4
RP11-456O19.4	0	0	0	15	7	0	18
RP11-456O19.3	0	0	0	1	1	0	1
TXNL1	1308	1014	1071	5878	4560	195	5312
WDR7	588	574	805	1071	1068	4	859
RP11-383D22.1	0	0	0	0	0	0	0
WDR7-UA1	0	0	0	0	0	0	1
LINC-ROR	0	0	0	0	0	0	0
CTD-2526M8.3	0	0	0	0	0	0	0
BOD1L2	0	1	0	0	0	0	1
CTD-2526M8.2	0	0	0	0	0	0	0
ST8SIA3	620	581	745	0	0	0	0
ONECUT2	14	16	20	9	13	0	15
AC090340.1	0	0	0	0	0	0	0
FECH	503	500	666	726	585	60	773
NARS	2717	2451	2583	6198	2979	97	4258
RP11-35G9.3	20	15	27	24	43	0	39
RP11-35G9.5	0	0	0	0	0	0	0
ATP8B1	355	459	445	3535	2221	1	2716
RSL24D1P11	8	5	3	0	1	0	0
RP11-693L9.2	0	0	0	0	0	0	0
AC090324.1	0	0	0	0	0	0	0
HMGN1P30	10	1	6	0	3	0	2
NEDD4L	502	448	517	632	1346	19	1036
RP11-718I15.1	0	0	0	0	0	0	0
RP11-845C23.2	1	0	0	0	2	3	1
RP11-845C23.3	0	0	0	0	0	0	0
RP11-1151B14.2	0	0	0	0	0	1	1
RP11-1151B14.3	0	0	0	0	0	0	0
MIR122	0	0	0	0	0	0	0
AC105105.1	0	0	0	0	0	0	0
ALPK2	1	0	3	0	2	2	1
RP11-1151B14.4	0	0	0	0	1	0	0
RP11-126O1.2	0	0	0	0	0	0	0
RPL9P31	0	0	0	0	0	0	0
RP11-126O1.5	2	2	1	3	1	0	0
MALT1	275	303	316	728	494	0	735
RP11-126O1.4	0	0	0	0	0	0	0
MRPL37P1	0	1	0	0	0	0	0
RP11-108P20.1	11	3	8	18	15	0	26
RP11-108P20.3	0	0	0	0	0	0	0
RP11-108P20.2	0	1	0	0	0	0	0
RN7SL112P	0	0	0	0	0	0	0
RP11-108P20.4	0	0	0	0	0	0	0
ZNF532	570	540	776	689	1644	293	1922
OACYLP	1	0	0	7	1	45	0
RP11-685A21.1	0	0	0	0	0	0	0
SEC11C	713	581	828	1851	1294	1	1602
GRP	0	3	1	0	0	0	2
RAX	0	0	0	0	0	39	0
CPLX4	0	1	0	0	1	0	0
LMAN1	2644	3217	3193	10687	5622	44	6773
RP11-27G24.1	0	0	0	3	1	23	2
CCBE1	408	359	381	1	1	0	38
RP11-27G24.3	1	1	0	0	0	0	0
RP11-760L24.1	0	0	0	0	0	0	0
RP11-2N1.1	0	0	0	0	0	0	0
RP11-2N1.2	0	2	3	0	0	0	0
AC098847.1	0	0	0	0	0	0	0
RPS26P54	0	0	0	0	0	0	0
GLUD1P4	0	0	0	0	0	0	0
RP11-824M15.3	0	0	1	0	0	0	0
PMAIP1	21	12	31	226	15	56	19
RP11-866E20.1	0	0	0	0	0	0	0
NFE2L3P1	0	2	4	0	3	0	0
RN7SL342P	0	0	0	0	0	0	0
SDCCAG3P1	0	1	1	0	0	0	0
RP11-866E20.3	0	0	0	0	0	1	0
FAM60CP	23	64	42	64	69	79	74
RP11-795H16.3	0	0	0	0	0	0	0
RPS3AP49	1	0	0	0	0	0	0
RNU4-17P	0	0	0	0	0	0	0
RP11-795H16.2	11	10	17	15	18	0	11
RP11-396N11.1	0	0	0	0	0	0	0
MC4R	6	6	4	0	0	0	0
RP11-325K19.3	0	0	0	0	0	0	0
MRPS5P4	0	0	0	0	0	0	0
RP11-325K19.6	0	0	0	0	0	0	0
AC010928.1	0	0	0	0	0	0	0
RP11-325K19.2	0	0	0	1	0	0	0
RP11-325K19.1	0	0	0	0	0	2	0
CTBP2P3	0	0	0	0	0	42	0
RP11-622J9.1	0	0	0	0	0	0	0
CDH20	10	5	6	0	5	127	17
RPL30P14	2	1	1	0	0	0	1
RP11-879F14.3	0	0	0	0	1	0	2
RP11-879F14.2	4	3	3	3	5	0	3
RP11-879F14.1	0	1	0	0	0	3	0
RP11-1096D5.2	0	0	0	0	0	1	0
RP11-1096D5.1	0	0	0	0	0	0	1
RNF152	447	383	306	317	274	0	448
RPIAP1	0	0	0	0	0	0	0
PIGN	429	408	440	817	770	0	777
KIAA1468	757	666	870	1103	853	2	1184
RP11-173A16.2	0	0	0	3	1	0	0
RP11-173A16.1	4	1	8	3	1	0	3
TNFRSF11A	66	87	87	38	47	31	203
RP11-640A1.3	0	0	0	0	0	0	0
RPL17P44	0	0	0	0	0	0	0
RP11-640A1.4	0	0	0	0	0	0	0
ACTBP9	1	1	1	1	0	0	1
ZCCHC2	225	295	324	533	308	0	542
RN7SL705P	0	0	0	0	0	0	0
PHLPP1	825	917	664	296	392	0	460
AC015989.1	0	0	0	0	0	0	0
AC015989.2	0	0	0	0	0	0	0
BCL2	287	264	357	4415	4749	0	5066
RP11-299P2.1	0	0	0	0	0	0	0
RP11-28F1.2	1	0	2	4	0	0	2
KDSR	1308	1225	1296	1730	1174	0	1561
RP11-635N19.1	19	14	17	9	8	0	5
VPS4B	897	802	964	1605	1196	0	1604
RP11-635N19.2	0	0	0	2	3	0	0
SERPINB5	0	0	1	1	0	0	0
RP11-635N19.3	0	0	0	0	0	0	0
ATP5G1P6	0	0	0	0	0	0	0
SERPINB12	0	0	0	0	0	0	0
SERPINB13	0	0	0	0	0	0	0
SERPINB4	0	0	0	0	0	0	0
SERPINB11	3	1	0	0	0	0	0
SERPINB3	0	0	0	0	0	0	0
SERPINB7	0	1	0	0	0	0	0
SERPINB2	0	2	1	0	0	0	0
SERPINB10	0	0	0	0	0	0	0
AC009802.1	0	0	0	0	0	0	0
HMSD	0	1	0	1	7	0	9
SERPINB8	289	308	248	330	62	0	168
RPL12P39	0	0	0	0	0	0	0
LINC00305	0	0	0	0	0	8	0
RP11-146N18.1	0	0	0	0	0	35	0
AC100848.1	0	0	0	0	0	6	0
RP11-909B2.1	0	0	0	0	0	0	0
RNU7-146P	0	0	0	0	0	0	0
AC007948.1	0	0	0	0	0	0	0
AC007631.1	0	0	0	0	0	0	0
RP11-453M23.1	0	0	0	0	0	0	0
RP11-775G23.1	0	0	0	0	0	151	0
CDH7	8	3	2	1	0	0	0
RP11-389J22.1	0	0	0	0	0	0	0
RP11-389J22.3	0	0	0	0	0	0	0
PRPF19P	0	0	0	0	0	0	0
CDH19	420	437	297	10	0	0	46
AC091643.1	0	0	0	0	0	0	0
AC113195.1	0	0	0	0	0	0	0
MIR5011	0	0	0	0	0	0	0
RPL31P9	0	0	0	0	0	0	0
AC091042.1	0	0	0	0	0	0	0
RP11-563H6.1	0	3	0	0	0	0	0
CTD-2541J13.1	1	4	4	1	1	0	3
DSEL	109	91	114	90	49	0	101
CTD-2541J13.2	0	0	0	0	0	0	0
RP11-638L3.1	3	0	1	0	0	0	1
RP11-29O13.1	0	0	0	0	0	0	0
RP11-28O3.2	0	0	0	0	0	0	0
RP11-28O3.1	0	0	0	0	0	0	0
RP11-638L3.4	0	0	0	0	0	0	0
RP11-638L3.3	0	0	0	0	0	0	0
RP11-638L3.2	0	0	0	0	0	0	0
RP11-659F24.1	0	0	0	0	0	0	0
RP11-526H11.1	0	0	0	0	0	0	0
RP11-421N8.2	0	0	0	0	0	0	0
RP11-421N8.1	371	335	346	452	260	0	508
RP11-128D14.1	0	0	0	0	0	0	0
AKR1B10P2	0	0	0	0	0	0	0
RP11-585K6.2	0	0	0	0	0	0	0
TMX3	1120	1039	1074	1907	1192	0	1505
CCDC102B	126	100	66	194	110	1	236
RP11-106E15.1	0	0	0	0	0	0	0
RNU6-39	0	0	0	0	0	2	0
SDHCP1	0	0	0	0	0	0	0
RP11-861L17.3	1	0	0	3	0	0	0
RP11-861L17.2	0	0	0	0	0	0	0
RP11-674P19.2	3	0	1	3	0	0	3
DOK6	82	55	64	288	329	102	186
RP11-465I4.3	0	0	0	0	0	0	0
RP11-465I4.2	0	0	0	0	0	0	0
RP11-543H23.2	0	0	0	0	0	0	0
CD226	6	25	31	5	22	0	37
RTTN	131	144	202	169	166	0	257
SOCS6	601	543	599	1010	595	0	899
RP11-41O4.1	1	1	2	1	1	0	3
RP11-484N16.1	0	0	0	0	0	0	0
AC013558.1	0	0	0	0	0	0	0
RP11-41O4.2	0	0	0	0	0	0	0
RP11-41O4.3	0	0	0	0	0	0	0
RPS2P6	0	0	0	0	0	0	0
RN7SL795P	0	0	0	0	0	0	0
RP11-433A23.1	0	0	0	0	0	0	0
RP11-384E22.1	0	0	0	0	0	0	0
RP11-529J17.1	0	0	0	0	0	1	0
RP11-47G4.2	0	0	0	0	0	0	0
RP11-47G4.1	0	0	0	0	0	0	0
RP11-510D19.1	0	0	0	0	0	1	1
RP11-752P2.1	0	0	0	0	0	0	0
RP11-752P2.2	0	0	0	0	0	0	0
RP11-723G8.2	0	0	0	0	0	0	0
RP11-723G8.1	0	0	0	0	0	0	0
RP11-736G13.1	0	0	0	0	0	0	0
RP11-736G13.2	0	0	0	0	0	0	0
CBLN2	12	5	0	0	5	11	12
HNRNPA1P11	0	0	0	0	0	0	0
NETO1	0	1	0	14	37	0	62
RP11-713C5.1	0	0	0	6	8	0	22
RNA5SP460	0	0	0	0	0	0	0
MIR548AV	0	0	0	0	0	0	0
RP11-676J15.1	0	0	0	0	0	0	1
RP11-169F17.1	0	3	2	2	3	0	3
CTD-2354A18.1	0	0	0	0	0	0	0
RP11-126K15.1	0	0	0	0	0	0	0
RN7SL401P	0	0	0	0	0	0	0
RP11-25L3.3	0	0	0	0	0	0	0
FBXO15	13	13	16	18	62	0	49
TIMM21	405	317	349	415	377	0	440
RP11-669I1.1	0	0	0	0	0	0	0
RN7SL551P	0	0	0	0	0	0	0
CYB5A	572	741	847	178	232	0	348
C18orf63	0	0	0	0	0	0	0
FAUP1	610	339	419	231	229	0	233
RP11-231E4.2	0	0	0	0	0	0	0
FAM69C	5	0	7	2	0	0	0
CNDP2	902	976	1259	7873	6733	0	4625
CNDP1	5	2	9	8	19	0	9
RP11-231E4.3	0	0	0	0	1	0	1
